# once_dene/dene.sh derleme sonucu -- 2026-09-23 -- http://localhost:7860 -- core 6562e5d, dev 2736997, editor e229dc4
# geçti: 22   kaldı: 0   sunucu: 0
betik	durum	özet
01-kaplumbaga-temel.kojo	geçti	
02-kaplumbaga-coklu.kojo	geçti	
03-resim-sekiller.kojo	geçti	
04-resim-donusturuculer.kojo	geçti	
05-gradyanlar.kojo	geçti	
06-renk-yapicilar.kojo	geçti	
07-yazi.kojo	geçti	
08-canlandirma.kojo	geçti	
09-carpisma.kojo	geçti	
10-klavye-fare.kojo	geçti	
11-ses.kojo	geçti	
12-imge-giysi.kojo	geçti	
13-sahne-tuval.kojo	geçti	
14-koleksiyonlar.kojo	geçti	
15-yazi-sayi-matematik.kojo	geçti	
16-yoney-nokta.kojo	geçti	
17-gelecek-zaman.kojo	geçti	
18-hatalar.kojo	geçti	
19-anahtar-kelimeler.kojo	geçti	
20-kucuk-oyun.kojo	geçti	
21-performans-cok-nesne.kojo	geçti	
22-uc-yildiz.kojo	geçti	
